a_1,a_2,a_3,a_4,b,y,He_Density
-204.5180897,252.0493893,-120.6686567,22.22879773,3.306315319,0.386603278,0.09201
-204.5166173,252.0475747,-120.667788,22.2286377,3.306291517,0.38670326,0.09201
-204.5151456,252.045761,-120.6669196,22.22847774,3.306267725,0.386803188,0.09201
-204.5136745,252.043948,-120.6660517,22.22831785,3.306243943,0.386903062,0.09201
-204.5122041,252.0421358,-120.6651841,22.22815803,3.306220171,0.387002882,0.09201
-204.5107342,252.0403244,-120.6643169,22.22799828,3.306196409,0.387102648,0.09201
-204.509265,252.0385137,-120.66345,22.22783859,3.306172657,0.38720236,0.09201
-204.5077964,252.0367038,-120.6625835,22.22767897,3.306148916,0.387302019,0.09201
-204.5063285,252.0348947,-120.6617174,22.22751942,3.306125184,0.387401623,0.09201
-204.5048612,252.0330864,-120.6608517,22.22735994,3.306101463,0.387501174,0.09201
-204.5033945,252.0312789,-120.6599863,22.22720053,3.306077752,0.387600672,0.09201
-204.5019285,252.0294721,-120.6591213,22.22704119,3.306054052,0.387700115,0.09201
-204.5004631,252.0276661,-120.6582567,22.22688192,3.306030361,0.387799505,0.09201
-204.4989983,252.0258609,-120.6573925,22.22672271,3.306006681,0.387898841,0.09201
-204.4975341,252.0240565,-120.6565286,22.22656358,3.305983011,0.387998124,0.09201
-204.4960706,252.0222528,-120.6556651,22.22640451,3.305959351,0.388097353,0.09202
-204.4946077,252.02045,-120.654802,22.22624551,3.305935702,0.388196529,0.09202
-204.4931455,252.0186479,-120.6539392,22.22608658,3.305912063,0.388295651,0.09202
-204.4916839,252.0168466,-120.6530769,22.22592772,3.305888434,0.388394719,0.09202
-204.4902229,252.0150461,-120.6522149,22.22576893,3.305864816,0.388493734,0.09202
-204.4887626,252.0132464,-120.6513533,22.22561021,3.305841207,0.388592696,0.09202
-204.4873029,252.0114475,-120.650492,22.22545156,3.305817609,0.388691604,0.09202
-204.4858439,252.0096493,-120.6496312,22.22529298,3.305794022,0.388790459,0.09202
-204.4843855,252.007852,-120.6487707,22.22513446,3.305770445,0.388889261,0.09202
-204.4829277,252.0060554,-120.6479106,22.22497602,3.305746878,0.388988009,0.09202
-204.4814706,252.0042596,-120.6470509,22.22481765,3.305723321,0.389086704,0.09202
-204.4800141,252.0024647,-120.6461915,22.22465934,3.305699775,0.389185345,0.09202
-204.4785582,252.0006705,-120.6453325,22.22450111,3.30567624,0.389283934,0.09202
-204.477103,251.9988771,-120.644474,22.22434295,3.305652714,0.389382469,0.09202
-204.4756485,251.9970845,-120.6436157,22.22418485,3.305629199,0.389480951,0.09202
-204.4741945,251.9952926,-120.6427579,22.22402683,3.305605695,0.38957938,0.09203
-204.4727413,251.9935016,-120.6419005,22.22386887,3.305582201,0.389677755,0.09203
-204.4712887,251.9917114,-120.6410434,22.22371099,3.305558717,0.389776078,0.09203
-204.4698367,251.989922,-120.6401867,22.22355318,3.305535244,0.389874348,0.09203
-204.4683854,251.9881334,-120.6393304,22.22339543,3.305511781,0.389972564,0.09203
-204.4669347,251.9863455,-120.6384745,22.22323776,3.305488329,0.390070727,0.09203
-204.4654846,251.9845585,-120.6376189,22.22308016,3.305464887,0.390168838,0.09203
-204.4640352,251.9827723,-120.6367638,22.22292263,3.305441456,0.390266895,0.09203
-204.4625865,251.9809868,-120.635909,22.22276517,3.305418035,0.3903649,0.09203
-204.4611384,251.9792022,-120.6350546,22.22260778,3.305394625,0.390462851,0.09203
-204.459691,251.9774184,-120.6342006,22.22245046,3.305371225,0.39056075,0.09203
-204.4582442,251.9756353,-120.633347,22.22229321,3.305347836,0.390658596,0.09203
-204.4567981,251.9738531,-120.6324937,22.22213603,3.305324457,0.390756389,0.09203
-204.4553526,251.9720717,-120.6316409,22.22197892,3.305301089,0.390854129,0.09203
-204.4539078,251.9702911,-120.6307884,22.22182188,3.305277731,0.390951817,0.09203
-204.4524636,251.9685113,-120.6299363,22.22166492,3.305254384,0.391049452,0.09204
-204.4510201,251.9667323,-120.6290846,22.22150803,3.305231048,0.391147034,0.09204
-204.4495772,251.9649541,-120.6282333,22.2213512,3.305207722,0.391244563,0.09204
-204.448135,251.9631767,-120.6273824,22.22119445,3.305184407,0.39134204,0.09204
-204.4466935,251.9614001,-120.6265319,22.22103777,3.305161102,0.391439464,0.09204
-204.4452526,251.9596244,-120.6256817,22.22088116,3.305137808,0.391536835,0.09204
-204.4438123,251.9578494,-120.624832,22.22072462,3.305114524,0.391634154,0.09204
-204.4423727,251.9560753,-120.6239826,22.22056816,3.305091252,0.39173142,0.09204
-204.4409338,251.9543019,-120.6231336,22.22041176,3.30506799,0.391828634,0.09204
-204.4394956,251.9525294,-120.622285,22.22025544,3.305044738,0.391925795,0.09204
-204.438058,251.9507577,-120.6214368,22.22009919,3.305021497,0.392022904,0.09204
-204.436621,251.9489868,-120.620589,22.21994301,3.304998267,0.39211996,0.09204
-204.4351847,251.9472167,-120.6197416,22.2197869,3.304975048,0.392216964,0.09204
-204.4337491,251.9454474,-120.6188945,22.21963087,3.304951839,0.392313916,0.09204
-204.4323142,251.943679,-120.6180479,22.21947491,3.304928641,0.392410815,0.09204
-204.4308799,251.9419114,-120.6172016,22.21931901,3.304905454,0.392507662,0.09204
-204.4294463,251.9401446,-120.6163558,22.2191632,3.304882277,0.392604457,0.09205
-204.4280133,251.9383786,-120.6155103,22.21900745,3.304859111,0.392701199,0.09205
-204.426581,251.9366134,-120.6146652,22.21885177,3.304835956,0.392797889,0.09205
-204.4251494,251.934849,-120.6138205,22.21869617,3.304812812,0.392894527,0.09205
-204.4237184,251.9330855,-120.6129762,22.21854064,3.304789679,0.392991112,0.09205
-204.4222881,251.9313228,-120.6121323,22.21838518,3.304766556,0.393087646,0.09205
-204.4208585,251.9295609,-120.6112888,22.2182298,3.304743444,0.393184127,0.09205
-204.4194295,251.9277999,-120.6104457,22.21807449,3.304720343,0.393280556,0.09205
-204.4180012,251.9260396,-120.609603,22.21791925,3.304697252,0.393376934,0.09205
-204.4165736,251.9242802,-120.6087607,22.21776408,3.304674173,0.393473259,0.09205
-204.4151466,251.9225216,-120.6079188,22.21760899,3.304651104,0.393569532,0.09205
-204.4137203,251.9207639,-120.6070773,22.21745397,3.304628046,0.393665753,0.09205
-204.4122947,251.9190069,-120.6062361,22.21729902,3.304604999,0.393761922,0.09205
-204.4108698,251.9172508,-120.6053954,22.21714415,3.304581963,0.393858039,0.09205
-204.4094455,251.9154955,-120.604555,22.21698934,3.304558938,0.393954104,0.09205
-204.4080219,251.9137411,-120.6037151,22.21683461,3.304535924,0.394050118,0.09206
-204.406599,251.9119875,-120.6028756,22.21667996,3.30451292,0.394146079,0.09206
-204.4051768,251.9102347,-120.6020364,22.21652538,3.304489928,0.394241989,0.09206
-204.4037552,251.9084827,-120.6011977,22.21637087,3.304466946,0.394337847,0.09206
-204.4023343,251.9067316,-120.6003593,22.21621643,3.304443975,0.394433653,0.09206
-204.4009141,251.9049813,-120.5995214,22.21606207,3.304421016,0.394529407,0.09206
-204.3994945,251.9032319,-120.5986838,22.21590778,3.304398067,0.39462511,0.09206
-204.3980757,251.9014833,-120.5978467,22.21575357,3.304375129,0.394720761,0.09206
-204.3966575,251.8997355,-120.5970099,22.21559943,3.304352202,0.39481636,0.09206
-204.39524,251.8979886,-120.5961736,22.21544536,3.304329286,0.394911908,0.09206
-204.3938232,251.8962425,-120.5953376,22.21529137,3.304306381,0.395007404,0.09206
-204.392407,251.8944972,-120.5945021,22.21513745,3.304283487,0.395102848,0.09206
-204.3909916,251.8927528,-120.5936669,22.21498361,3.304260604,0.395198241,0.09206
-204.3895768,251.8910092,-120.5928322,22.21482984,3.304237732,0.395293582,0.09206
-204.3881627,251.8892664,-120.5919979,22.21467614,3.304214872,0.395388872,0.09206
-204.3867493,251.8875245,-120.5911639,22.21452252,3.304192022,0.39548411,0.09206
-204.3853365,251.8857834,-120.5903304,22.21436897,3.304169183,0.395579297,0.09207
-204.3839245,251.8840432,-120.5894972,22.21421549,3.304146355,0.395674433,0.09207
-204.3825131,251.8823039,-120.5886645,22.21406209,3.304123539,0.395769517,0.09207
-204.3811024,251.8805653,-120.5878322,22.21390877,3.304100733,0.39586455,0.09207
