Tag_Number,Instrument,Axial_Location,Radial_Azimuthal_Location,RELAP5_Model_Parameters,,,,,Total_Uncertainty,,Lower,Units
TS-1729,Thermocouple,Core Block #7,"Secondary Sector, #17","tempg-164050000, tempg-164060000",,,,,,,,
TS-1730,Thermocouple,Core Block #7,"Tertiary Sector, #2","httemp-132000506, httemp-132000606, htvat-1320005, htvat-1320006",,,,,,,,
TS-1731,Thermocouple,Core Block #7,"Tertiary Sector, #5","htvat-1401003, htvat-1401004",,,,,,,,
TF-1732,Thermocouple,Core Block #7,"Tertiary Sector, #6","tempg-140050000, tempg-140060000",,,,,,,,
TS-1733,Thermocouple,Core Block #7,"Tertiary Sector, #7","htvat-1451003, htvat-1451004",,,,,,,,
TF-1734,Thermocouple,Core Block #7,"Tertiary Sector, #8","tempg-145050000, tempg-145060000",,,,,,,,
TS-1735,Thermocouple,Core Block #7,"Tertiary Sector, #9","htvat-1501003, htvat-1501004",,,,,,,,
TF-1736,Thermocouple,Core Block #7,"Tertiary Sector, #10","tempg-150050000, tempg-150060000",,,,,,,,
TS-1737,Thermocouple,Core Block #7,"Tertiary Sector, #13","httemp-160000501, httemp-160000601, htvat-1600005, htvat-1600006",,,,,,,,
TS-1738,Thermocouple,Core Block #7,"Tertiary Sector, #18","httemp-166000501, httemp-166000601",,,,,,,,
TS-1739,Thermocouple,Core Block #7,"Tertiary Sector, #3","httemp-140300301, httemp-140300401",,,,,,,,
TS-1740,Thermocouple,Core Block #7,"Tertiary Sector, #12","httemp-145300301, httemp-145300501, httemp-150300301, httemp-150300401",,,,,,,,
TS-1741,Thermocouple,Core Block #7,"Tertiary Sector, #15","tempg-164050000, tempg-164060000",,,,,,,,
TS-1742,Thermocouple,Core Block #7,"Tertiary Sector, #16","tempg-164050000, tempg-164060000",,,,,,,,
TS-1743,Thermocouple,Core Block #7,"Tertiary Sector, #17","tempg-164050000, tempg-164060000",,,,,,,,
,,,,,,,,,,,,
TS-1801,Thermocouple,Core Block #8,"Primary Sector, #1","httemp-130000401, httemp-130000501",,,,,,,,
TS-1802,Thermocouple,Core Block #8,"Primary Sector, #16","tempg-164040000, tempg-164050000",,,,,,,,
GC-1801,GCI,Core Block #8,"Primary Sector, #11","quala-150040000, quala-150050000",,,,,,,,
,,,,,,,,,,,,
TS-1901,Thermocouple,Core Block #9,"Primary Sector, #1","httemp-130000301, httemp-130000401",,,,,,,,
TS-1902,Thermocouple,Core Block #9,"Primary Sector, #2","httemp-134000301, httemp-134000401, htvat-1340003, htvat-1340004",,,,,,,,
TS-1903,Thermocouple,Core Block #9,"Primary Sector, #5","htvat-1401001, htvat-1401002",,,,,,,,
TF-1904,Thermocouple,Core Block #9,"Primary Sector, #6","tempg-140030000, tempg-140040000",,,,,,,,
TS-1905,Thermocouple,Core Block #9,"Primary Sector, #7","htvat-1451001, htvat-1451002",,,,,,,,
TF-1906,Thermocouple,Core Block #9,"Primary Sector, #8","tempg-145030000, tempg-145040000",,,,,,,,
TS-1907,Thermocouple,Core Block #9,"Primary Sector, #9","htvat-1501001, htvat-1501002",,,,,,,,
TF-1908,Thermocouple,Core Block #9,"Primary Sector, #10","tempg-150030000, tempg-150040000",,,,,,,,
TS-1909,Thermocouple,Core Block #9,"Primary Sector, #13","httemp-160000301, httemp-160000401, htvat-1600003, htvat-1600004",,,,,,,,
TS-1910,Thermocouple,Core Block #9,"Primary Sector, #18","htvat-1660003, htvat-1660004",,,,,,,,
TS-1911,Thermocouple,Core Block #9,"Primary Sector, #3","httemp-140300101, httemp-140300201",,,,,,,,
TS-1912,Thermocouple,Core Block #9,"Primary Sector, #12","httemp-150300101, httemp-150300201",,,,,,,,
TS-1913,Thermocouple,Core Block #9,"Primary Sector, #15","tempg-164030000, tempg-164040000",,,,,,,,
TS-1914,Thermocouple,Core Block #9,"Primary Sector, #16","tempg-164030000, tempg-164040000",,,,,,,,
TS-1915,Thermocouple,Core Block #9,"Primary Sector, #17","tempg-164030000, tempg-164040000",,,,,,,,
TS-1916,Thermocouple,Core Block #9,"Secondary Sector, #2","htvat-1340003, htvat-1340004",,,,,,,,
TS-1917,Thermocouple,Core Block #9,"Secondary Sector, #5","htvat-1401001, htvat-1401002",,,,,,,,
TF-1918,Thermocouple,Core Block #9,"Secondary Sector, #6","tempg-140030000, tempg-140040000",,,,,,,,
TS-1919,Thermocouple,Core Block #9,"Secondary Sector, #7","htvat-1451001, htvat-1451002",,,,,,,,
TF-1920,Thermocouple,Core Block #9,"Secondary Sector, #8","tempg-145030000, tempg-145040000",,,,,,,,
TS-1921,Thermocouple,Core Block #9,"Secondary Sector, #9","htvat-1501001, htvat-1501002",,,,,,,,
TF-1922,Thermocouple,Core Block #9,"Secondary Sector, #10","tempg-150030000, tempg-150040000",,,,,,,,
TS-1923,Thermocouple,Core Block #9,"Secondary Sector, #13","httemp-160000301, httemp-160000401, htvat-1600003, htvat-1600004",,,,,,,,
TS-1924,Thermocouple,Core Block #9,"Secondary Sector, #18","htvat-1660003, htvat-1660004",,,,,,,,
TS-1925,Thermocouple,Core Block #9,"Secondary Sector, #3","httemp-140300101, httemp-140300201",,,,,,,,
TS-1926,Thermocouple,Core Block #9,"Secondary Sector, #12","httemp-150300101, httemp-150300201",,,,,,,,
TS-1927,Thermocouple,Core Block #9,"Secondary Sector, #15","tempg-164030000, tempg-164040000",,,,,,,,
TS-1928,Thermocouple,Core Block #9,"Secondary Sector, #16","tempg-164030000, tempg-164040000",,,,,,,,
TS-1929,Thermocouple,Core Block #9,"Secondary Sector, #17","tempg-164030000, tempg-164040000",,,,,,,,
,,,,,,,,,,,,
TS-1001,Thermocouple,Core Block #10,"Secondary Sector, #1","httemp-130000201, httemp-130000301",,,,,,,,
TS-1002,Thermocouple,Core Block #10,"Secondary Sector, #16","tempg-164020000, tempg-164030000",,,,,,,,
,,,,,,,,,,,,
TS-1003,Thermocouple,Upper Reflector #2,"Primary Sector, #1",httemp-130000101,,,,,,,,
TS-1004,Thermocouple,Upper Reflector #2,"Primary Sector, #2","httemp-134000101, htvat-1340001",,,,,,,,
TS-1005,Thermocouple,Upper Reflector #2,"Primary Sector, #5",htvat-1400001,,,,,,,,
TF-1006,Thermocouple,Upper Reflector #2,"Primary Sector, #6",tempg-140010000,,,,,,,,
TS-1007,Thermocouple,Upper Reflector #2,"Primary Sector, #7",htvat-1450001,,,,,,,,
TF-1008,Thermocouple,Upper Reflector #2,"Primary Sector, #8",tempg-145010000,,,,,,,,
TS-1009,Thermocouple,Upper Reflector #2,"Primary Sector, #9",htvat-1500001,,,,,,,,
TF-1010,Thermocouple,Upper Reflector #2,"Primary Sector, #10",tempg-150010000,,,,,,,,
TS-1011,Thermocouple,Upper Reflector #2,"Primary Sector, #13","httemp-160000107, httemp-162000107, htvat-1620001",,,,,,,,
